Size,Ver1ô§ min,Ver1ô§ mean,Ver1ô§ max,Ver2ô§-GP min,Ver2ô§-GP mean,Ver2ô§-GP max,Ver3ô§-GP min,Ver3ô§-GP mean,Ver3ô§-GP max,Ver3ô§-GPX min,Ver3ô§-GPX mean,Ver3ô§-GPX max
10000,,,,0.006,0.006,0.006,0.006,0.006333333333333334,0.007,0.005,0.012333333333333333,0.027
20000,,,,0.012,0.012333333333333335,0.013,0.011,0.013,0.014,0.011,0.011666666666666667,0.012
30000,,,,0.017,0.017,0.017,0.019,0.021666666666666667,0.025,0.016,0.016666666666666666,0.017
40000,,,,0.023,0.02366666666666667,0.024,0.027,0.04066666666666666,0.059,0.023,0.026,0.032
50000,,,,0.031,0.03166666666666667,0.032,0.032,0.03366666666666667,0.036,0.029,0.03,0.031
60000,,,,0.04,0.04066666666666666,0.042,0.04,0.042,0.045,0.037,0.03733333333333333,0.038
70000,,,,0.048,0.050333333333333334,0.054,0.047,0.049666666666666665,0.051,0.045,0.04766666666666667,0.051
80000,,,,0.06,0.06233333333333333,0.064,0.056,0.06033333333333333,0.064,0.054,0.054,0.054
90000,,,,0.07,0.07066666666666667,0.071,0.079,0.08366666666666667,0.088,0.064,0.065,0.066
100000,,,,0.086,0.08833333333333333,0.09,0.075,0.07833333333333332,0.085,0.076,0.07766666666666666,0.079
125000,,,,0.118,0.12533333333333332,0.138,0.105,0.11133333333333333,0.122,0.114,0.12233333333333334,0.129
150000,,,,0.163,0.17266666666666666,0.191,0.137,0.14200000000000002,0.145,0.168,0.17866666666666667,0.194
175000,,,,0.205,0.20633333333333334,0.207,0.185,0.19033333333333333,0.2,0.231,0.24266666666666667,0.262
200000,,,,0.259,0.262,0.266,0.229,0.24666666666666667,0.257,0.297,0.3,0.303
